,Location,Property subtype,Price,Number of bedrooms,Living area,Kitchen,Furnished,Open fireplace,Terrace,Garden,Surface area land,Pool,Condition
0,Verviers,HOUSE,296607.0,3.0,130.0,False,False,False,True,True,239.0,False,True
2,Aalst,HOUSE,299000.0,5.0,200.0,True,False,False,False,False,1150.0,False,True
3,Charleroi,HOUSE,300000.0,0.0,270.0,False,False,False,True,True,498.0,False,False
4,Nivelles,HOUSE,195000.0,3.0,135.0,True,False,False,True,False,165.0,False,False
6,Oudenaarde,HOUSE,415000.0,3.0,207.0,True,False,False,True,True,534.0,False,True
7,Oudenaarde,HOUSE,405000.0,3.0,207.0,True,False,False,True,True,382.0,False,True
8,Oudenaarde,HOUSE,415000.0,3.0,207.0,True,False,False,True,True,532.0,False,True
9,Mechelen,HOUSE,415000.0,3.0,194.0,True,False,False,False,True,457.0,False,False
11,Oudenaarde,HOUSE,415000.0,3.0,207.0,True,False,False,True,True,532.0,False,True
12,Anderlecht,HOUSE,439000.0,5.0,290.0,True,False,False,True,True,142.0,False,False
13,Kortrijk,HOUSE,245000.0,3.0,161.0,True,False,False,False,False,353.0,False,True
15,Mons,HOUSE,190000.0,3.0,194.0,False,False,False,True,False,270.0,False,False
16,Mons,HOUSE,90000.0,3.0,158.0,False,False,False,False,False,240.0,False,True
17,Maaseik,HOUSE,369000.0,4.0,250.0,True,False,False,True,False,1341.0,True,True
19,Brugge,HOUSE,369000.0,3.0,178.0,True,False,False,False,False,2129.0,False,True
20,Kortrijk,HOUSE,285000.0,3.0,162.0,False,False,False,False,False,262.0,False,False
22,Sint-Niklaas,HOUSE,419000.0,5.0,221.0,True,False,False,True,True,825.0,False,True
24,Tournai-Mouscron,HOUSE,199000.0,3.0,105.0,False,False,False,False,False,110.0,False,True
26,Kortrijk,APARTMENT_BLOCK,1785000.0,13.0,1050.0,False,False,False,True,True,900.0,False,True
27,Schoten,HOUSE,324000.0,3.0,175.0,True,False,False,True,True,175.0,False,False
29,Brugge,HOUSE,439000.0,4.0,189.0,True,False,False,True,True,160.0,False,True
